id;is_esi_contribution;esi_number;esi_rate;additional_esi_rate;total_esi_rate;employee_id;re_enumeration_id;status;company_id;last_modified;last_modified_by
1;true;Coordinator out-of-the-box compressing;55983;Implementation deposit secured;55495;42982;97031;best-of-breed Music;67362;2023-04-05T19:34:41;transmit bus Rica
2;false;Plaza;80369;Optimization Lock Solomon;28636;87179;5858;RSS;80106;2023-04-05T13:25:04;Customer
3;true;parallelism;73043;Facilitator alarm systematic;35304;64955;21204;Metal;92861;2023-04-05T17:30:52;deposit
4;false;optical;40149;cross-platform;70772;98293;17183;web-enabled Intelligent;40115;2023-04-05T18:30:17;Moroccan deploy
5;true;Niger Towels leading-edge;15188;visualize monitor;94548;76473;67478;Pataca matrix monitor;81888;2023-04-05T14:09:48;Colombia Car Central
6;false;Bedfordshire;32562;Generic;23394;44379;62392;metrics;19773;2023-04-05T12:53:26;open-source Hollow
7;false;Mill grey;28444;Steel cultivate Territory;59957;8633;72007;Product;84712;2023-04-06T00:15:18;Future
8;true;Programmable quantifying;3492;Hollow pink;81740;24575;33360;Throughway;16283;2023-04-06T11:28:02;Steel networks Cambridgeshire
9;false;Mission;13885;Comoros;78870;97369;35933;compress Small haptic;46397;2023-04-05T14:43:08;Shoes Salad
10;false;connect moratorium Bedfordshire;44749;COM markets Hat;34878;84334;59945;models Soft;51994;2023-04-05T12:25:54;Specialist Barbados engage
