id;is_pf_contribution;pf_number;pf_rate;additional_pf_rate;total_pf_rate;employee_id;re_enumeration_id;status;company_id;last_modified;last_modified_by
1;false;Kenyan;60646;Point front-end invoice;28053;48555;2336;multi-byte unleash;78623;2023-04-06T06:47:27;gold generation
2;false;Cambridgeshire;99305;Dynamic Operations;84745;23829;91469;leading-edge engineer Jewelery;73032;2023-04-06T07:46:56;efficient Account
3;false;Producer Multi-lateral next-generation;74961;deposit protocol SAS;78425;68652;22776;Optimization;90069;2023-04-05T17:46:08;Mississippi Cambridgeshire
4;true;Lebanese lavender Dakota;84778;interfaces;62481;71075;46761;Belize Fantastic;93640;2023-04-06T03:05:27;Business-focused cross-platform multi-byte
5;true;maroon;12708;Minnesota;29078;22479;11867;orchestrate content;60384;2023-04-05T15:50:43;incentivize Industrial Croatia
6;true;Card communities protocol;15731;maroon Identity;84793;33395;95037;brand;43632;2023-04-05T13:19:23;silver multi-byte
7;true;Australia actuating;91454;intuitive;74172;69219;20408;white eyeballs;85120;2023-04-06T01:09:58;ubiquitous Moroccan
8;true;back-end Coordinator moratorium;9075;Tools system-worthy;96435;64508;75823;Washington;22199;2023-04-05T20:20:09;invoice grey
9;true;copying Avon collaboration;57622;Hat Games;25596;19073;43247;compressing withdrawal;24852;2023-04-05T11:48:35;Optimized parse
10;false;bandwidth Isle;96956;Organized object-oriented copying;84632;95943;52013;programming;50174;2023-04-05T22:25:24;Legacy auxiliary Concrete
