id;first_name;last_name;description;role;status;employee_id;company_id;last_modified;last_modified_by
1;Missouri;Bernhard;National Handmade Data;Washington Liaison multi-byte;Peso streamline drive;61451;95272;2023-04-06T08:11:28;Dram
2;Nigel;Quigley;Regional navigate;Shoes;Towels Chicken Island;13275;88180;2023-04-06T04:23:33;British Circles
3;Florian;Glover;redundant parse;Program Manor;connecting productivity;99890;73168;2023-04-06T07:11:30;Unbranded improvement
4;Domenic;Kulas;out-of-the-box Mobility;Pants turquoise;mesh Stream;12056;69516;2023-04-06T01:21:49;Direct plum
5;Pearlie;Kozey;white;Supervisor;plug-and-play Bike Beauty;75688;39276;2023-04-06T08:30:23;Account array
6;Amina;Wilderman;Libyan;neural;Account;74446;24381;2023-04-06T04:56:58;intuitive Cote Technician
7;Gustave;Kuhlman;calculate;Canadian multi-byte;Pizza compressing Auto;16321;39309;2023-04-05T21:32:21;Montana
8;Royce;Marquardt;Integration;connect Practical Table;PNG Intelligent Centers;89047;17276;2023-04-05T22:25:05;Devolved seamless
9;Golden;Predovic;hacking primary;internet Netherlands;Wooden Saudi;79345;52462;2023-04-05T14:44:22;azure connect
10;Wade;Tromp;invoice Omani copy;invoice Versatile;dot-com pink Graphic;4338;26763;2023-04-05T19:00:04;USB collaborative Wyoming
